category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close
base-depos,bloomberg,daily,AUD6M,LDN,close,ADDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD9M,LDN,close,ADDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD1Y,LDN,close,ADDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD2Y,LDN,close,ADDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD3Y,LDN,close,ADDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD5Y,LDN,close,ADDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZDON,LDN,close,NDDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZDTN,LDN,close,NDDR2T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZDSN,LDN,close,NDDR3T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD1W,LDN,close,NDDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD2W,LDN,close,NDDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD3W,LDN,close,NDDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD1M,LDN,close,NDDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD2M,LDN,close,NDDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD3M,LDN,close,NDDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD4M,LDN,close,NDDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD6M,LDN,close,NDDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD9M,LDN,close,NDDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD1Y,LDN,close,NDDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD2Y,LDN,close,NDDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,NZD3Y,LDN,close,NDDR3 CMPL Index,6:00pm LDN
